tweet,tokens,label
like snoop said dont love hoe,"['like', 'snoop', 'said', 'dont', 'love', 'hoe']",0
momma said pussy cat inside doghouse,"['momma', 'said', 'pussy', 'cat', 'inside', 'doghouse']",0
hated hoe favorite mw sevenone,"['hated', 'hoe', 'favorite', 'mw', 'sevenone']",0
nice girl bad make get naughty bad yello hoe real nice body south chick like em real thick,"['nice', 'girl', 'bad', 'make', 'get', 'naughty', 'bad', 'yello', 'hoe', 'real', 'nice', 'body', 'south', 'chick', 'like', 'em', 'real', 'thick']",0
pimp pimp hoe future voice,"['pimp', 'pimp', 'hoe', 'future', 'voice']",0
post picture pussy get like,"['post', 'picture', 'pussy', 'get', 'like']",0
pussy powerful drug happyhumpday,"['pussy', 'powerful', 'drug', 'happyhumpday']",0
quick piece pussy call drive,"['quick', 'piece', 'pussy', 'call', 'drive']",0
running round like brand new pussy thats bout get fucked,"['running', 'round', 'like', 'brand', 'new', 'pussy', 'thats', 'bout', 'get', 'fucked']",0
bitch even worst theyll send guy,"['bitch', 'even', 'worst', 'theyll', 'send', 'guy']",0
hoe like nigga spend money talk bout,"['hoe', 'like', 'nigga', 'spend', 'money', 'talk', 'bout']",0
dont trust nigga bitch,"['dont', 'trust', 'nigga', 'bitch']",0
yall nigga b cuffing hoe cause yall aint never bitch,"['yall', 'nigga', 'b', 'cuffing', 'hoe', 'cause', 'yall', 'aint', 'never', 'bitch']",0
dodge bullet da bitch cut pregnant bound thank god,"['dodge', 'bullet', 'da', 'bitch', 'cut', 'pregnant', 'bound', 'thank', 'god']",0
young pill chamberlain bitch love music,"['young', 'pill', 'chamberlain', 'bitch', 'love', 'music']",0
teanna trump probably cleaner twitter hoe,"['teanna', 'trump', 'probably', 'cleaner', 'twitter', 'hoe']",0
gay nigga couldnt wait act like bitch tonight,"['gay', 'nigga', 'couldnt', 'wait', 'act', 'like', 'bitch', 'tonight']",0
ima steal cat n replace pitbull bitch,"['ima', 'steal', 'cat', 'n', 'replace', 'pitbull', 'bitch']",0
he gone always hoe,"['he', 'gone', 'always', 'hoe']",0
son bitch took tic tacs like movie,"['son', 'bitch', 'took', 'tic', 'tacs', 'like', 'movie']",0
wan na get money fuck model bitch russell simmons,"['wan', 'na', 'get', 'money', 'fuck', 'model', 'bitch', 'russell', 'simmons']",0
probably wouldnt mind school much didnt deal bitch as teacher retweet,"['probably', 'wouldnt', 'mind', 'school', 'much', 'didnt', 'deal', 'bitch', 'as', 'teacher', 'retweet']",0
im fucking fag said,"['im', 'fucking', 'fag', 'said']",0
female think dating pussy cute stuff make pussy,"['female', 'think', 'dating', 'pussy', 'cute', 'stuff', 'make', 'pussy']",0
simplyaddictedtoguys woof woof hot scally lad,"['simplyaddictedtoguys', 'woof', 'woof', 'hot', 'scally', 'lad']",0
ya ever asked bitch bitch kanye voice yes,"['ya', 'ever', 'asked', 'bitch', 'bitch', 'kanye', 'voice', 'yes']",0
u gone bring ur side bitch game know ya gf friend swear,"['u', 'gone', 'bring', 'ur', 'side', 'bitch', 'game', 'know', 'ya', 'gf', 'friend', 'swear']",0
woof woof hot sol,"['woof', 'woof', 'hot', 'sol']",0
lemmie eat oreo dish one oreo lol,"['lemmie', 'eat', 'oreo', 'dish', 'one', 'oreo', 'lol']",0
bitch fuck u maybe youll get better,"['bitch', 'fuck', 'u', 'maybe', 'youll', 'get', 'better']",0
fuck red malone man bitch as niggah could please use complete sentence,"['fuck', 'red', 'malone', 'man', 'bitch', 'as', 'niggah', 'could', 'please', 'use', 'complete', 'sentence']",0
eggplant emoji doey say looked like scream lmao,"['eggplant', 'emoji', 'doey', 'say', 'looked', 'like', 'scream', 'lmao']",0
hennessey venom gt thats one sexy bitch,"['hennessey', 'venom', 'gt', 'thats', 'one', 'sexy', 'bitch']",0
seh pussy wetter shower curtainahmesehwetnesslmao,"['seh', 'pussy', 'wetter', 'shower', 'curtainahmesehwetnesslmao']",0
eaglesnation every eagle need see pic posted bitch said racist shit,"['eaglesnation', 'every', 'eagle', 'need', 'see', 'pic', 'posted', 'bitch', 'said', 'racist', 'shit']",0
yo fuck skateboarding yall wood pushing faggot man ball life,"['yo', 'fuck', 'skateboarding', 'yall', 'wood', 'pushing', 'faggot', 'man', 'ball', 'life']",0
baby monkey bathtime awwwwe soooo adorable,"['baby', 'monkey', 'bathtime', 'awwwwe', 'soooo', 'adorable']",0
aint shit damn skippy lol,"['aint', 'shit', 'damn', 'skippy', 'lol']",0
u ever kill ant sidewalk think damn nigga way get pussyno b must b chance,"['u', 'ever', 'kill', 'ant', 'sidewalk', 'think', 'damn', 'nigga', 'way', 'get', 'pussyno', 'b', 'must', 'b', 'chance']",0
ring mvp bitch lol,"['ring', 'mvp', 'bitch', 'lol']",0
ppl talk bad ghettohood kid growing nigga funnnnnnn,"['ppl', 'talk', 'bad', 'ghettohood', 'kid', 'growing', 'nigga', 'funnnnnnn']",0
fact tattoostattoo he pussy tattooing nipple,"['fact', 'tattoostattoo', 'he', 'pussy', 'tattooing', 'nipple']",0
bitch wanting act like nigga bad shit aint cuteeeee nigga act like bitch,"['bitch', 'wanting', 'act', 'like', 'nigga', 'bad', 'shit', 'aint', 'cuteeeee', 'nigga', 'act', 'like', 'bitch']",0
get worshiping bitch woof woof,"['get', 'worshiping', 'bitch', 'woof', 'woof']",0
wow im lost buttcheek piercings yeah shes hoe,"['wow', 'im', 'lost', 'buttcheek', 'piercings', 'yeah', 'shes', 'hoe']",0
ok si shed rather broke bitch shrug shell tell work,"['ok', 'si', 'shed', 'rather', 'broke', 'bitch', 'shrug', 'shell', 'tell', 'work']",0
queer gaywad,"['queer', 'gaywad']",1
faggot read tweet dat k wasnt even funny lol,"['faggot', 'read', 'tweet', 'dat', 'k', 'wasnt', 'even', 'funny', 'lol']",0
bitch ungrateful fr lulwhore,"['bitch', 'ungrateful', 'fr', 'lulwhore']",0
kidnapped yo bitch,"['kidnapped', 'yo', 'bitch']",0
alsarabsss he beaner smh tell he mexican,"['alsarabsss', 'he', 'beaner', 'smh', 'tell', 'he', 'mexican']",1
happy birthday nigs thanks yo,"['happy', 'birthday', 'nigs', 'thanks', 'yo']",0
ur teacher tell u u homework bitch need go,"['ur', 'teacher', 'tell', 'u', 'u', 'homework', 'bitch', 'need', 'go']",0
nigga eating hoe lol hell yea lol john paul nigga said john paul,"['nigga', 'eating', 'hoe', 'lol', 'hell', 'yea', 'lol', 'john', 'paul', 'nigga', 'said', 'john', 'paul']",0
would yall lil ugly bald headed bitch stop making makeup weave,"['would', 'yall', 'lil', 'ugly', 'bald', 'headed', 'bitch', 'stop', 'making', 'makeup', 'weave']",0
leaf better win damn game go riot shit earlychristmas better start looting nig,"['leaf', 'better', 'win', 'damn', 'game', 'go', 'riot', 'shit', 'earlychristmas', 'better', 'start', 'looting', 'nig']",0
going back school suck dick hoe attend,"['going', 'back', 'school', 'suck', 'dick', 'hoe', 'attend']",0
way fuck yo bitch year old,"['way', 'fuck', 'yo', 'bitch', 'year', 'old']",0
come never bring food dont car retard,"['come', 'never', 'bring', 'food', 'dont', 'car', 'retard']",0
richnow doesnt show hella tinder hoe im friend anymore chill brought like like prople,"['richnow', 'doesnt', 'show', 'hella', 'tinder', 'hoe', 'im', 'friend', 'anymore', 'chill', 'brought', 'like', 'like', 'prople']",0
bout cowboy shutup pussy,"['bout', 'cowboy', 'shutup', 'pussy']",0
lmaooooooooooo nigga bitch want like depressing shitfoh,"['lmaooooooooooo', 'nigga', 'bitch', 'want', 'like', 'depressing', 'shitfoh']",0
girl know spitting g shit going lbvsbitch plz,"['girl', 'know', 'spitting', 'g', 'shit', 'going', 'lbvsbitch', 'plz']",0
let make couple tweet cuzzo page wont get twitter jaillmao bitch dont trick,"['let', 'make', 'couple', 'tweet', 'cuzzo', 'page', 'wont', 'get', 'twitter', 'jaillmao', 'bitch', 'dont', 'trick']",0
harlem shake excuse go full retard second,"['harlem', 'shake', 'excuse', 'go', 'full', 'retard', 'second']",0
amen miley dont need act like hoe bc shes emotionally damaged foh,"['amen', 'miley', 'dont', 'need', 'act', 'like', 'hoe', 'bc', 'shes', 'emotionally', 'damaged', 'foh']",0
one loyal female wayyyyy better hoe idc,"['one', 'loyal', 'female', 'wayyyyy', 'better', 'hoe', 'idc']",0
pussy licking pussy meow meow stopwhitepeople,"['pussy', 'licking', 'pussy', 'meow', 'meow', 'stopwhitepeople']",0
check th man cowboysnation even faggot ny fan stand,"['check', 'th', 'man', 'cowboysnation', 'even', 'faggot', 'ny', 'fan', 'stand']",0
happen vixen ent bitch got ran threw side like foothill bitch,"['happen', 'vixen', 'ent', 'bitch', 'got', 'ran', 'threw', 'side', 'like', 'foothill', 'bitch']",0
im bitch okay nude pat wow,"['im', 'bitch', 'okay', 'nude', 'pat', 'wow']",0
youre fucking gay blacklisted hoe holding tehgodclan anyway,"['youre', 'fucking', 'gay', 'blacklisted', 'hoe', 'holding', 'tehgodclan', 'anyway']",1
fuck wrong bitch nobody know,"['fuck', 'wrong', 'bitch', 'nobody', 'know']",0
yall shut upp make bitch,"['yall', 'shut', 'upp', 'make', 'bitch']",0
hate im pregnant type bitch,"['hate', 'im', 'pregnant', 'type', 'bitch']",0
got bitch dm dont ever readem top,"['got', 'bitch', 'dm', 'dont', 'ever', 'readem', 'top']",0
baseball season win yankee love started,"['baseball', 'season', 'win', 'yankee', 'love', 'started']",0
little stupid bitch dont fuck yoooooouuuu,"['little', 'stupid', 'bitch', 'dont', 'fuck', 'yoooooouuuu']",0
really asked dead as serious tho could say bitch wheet lol,"['really', 'asked', 'dead', 'as', 'serious', 'tho', 'could', 'say', 'bitch', 'wheet', 'lol']",0
im early bird im night owl im wise worm,"['im', 'early', 'bird', 'im', 'night', 'owl', 'im', 'wise', 'worm']",0
overdosing heavy drug doesnt sound bad tonight pussy shit every day,"['overdosing', 'heavy', 'drug', 'doesnt', 'sound', 'bad', 'tonight', 'pussy', 'shit', 'every', 'day']",0
pit bull photographed lovely fairy tale creature fairy tale creature,"['pit', 'bull', 'photographed', 'lovely', 'fairy', 'tale', 'creature', 'fairy', 'tale', 'creature']",0
aw fag dont tweet aw lol,"['aw', 'fag', 'dont', 'tweet', 'aw', 'lol']",0
long lakers trash could careless thats real cc hahaha,"['long', 'lakers', 'trash', 'could', 'careless', 'thats', 'real', 'cc', 'hahaha']",0
didnt say anything tho kiss faggot,"['didnt', 'say', 'anything', 'tho', 'kiss', 'faggot']",0
play soccer cheat girl wear khaki coloured cargo haircut yup,"['play', 'soccer', 'cheat', 'girl', 'wear', 'khaki', 'coloured', 'cargo', 'haircut', 'yup']",0
could go fat as bitch lap,"['could', 'go', 'fat', 'as', 'bitch', 'lap']",0
missed call da yo po bitch twitter finna screamn freemoneymelle,"['missed', 'call', 'da', 'yo', 'po', 'bitch', 'twitter', 'finna', 'screamn', 'freemoneymelle']",0
ya side bitch got ta know rule shitanybody ask cousin jersey thinkin bout moving lmmfao,"['ya', 'side', 'bitch', 'got', 'ta', 'know', 'rule', 'shitanybody', 'ask', 'cousin', 'jersey', 'thinkin', 'bout', 'moving', 'lmmfao']",0
amo los pie fuck yeah,"['amo', 'los', 'pie', 'fuck', 'yeah']",0
hoe thinking meat wont slap as ainna bruh,"['hoe', 'thinking', 'meat', 'wont', 'slap', 'as', 'ainna', 'bruh']",0
yall bitch wit edge talking,"['yall', 'bitch', 'wit', 'edge', 'talking']",0
yall still going trick treating year nahhell yeah ima da sweet tooth bandit steal bitch bag n shit,"['yall', 'still', 'going', 'trick', 'treating', 'year', 'nahhell', 'yeah', 'ima', 'da', 'sweet', 'tooth', 'bandit', 'steal', 'bitch', 'bag', 'n', 'shit']",0
wan na sex mom fuck right pussy came damn got hacked like fuck,"['wan', 'na', 'sex', 'mom', 'fuck', 'right', 'pussy', 'came', 'damn', 'got', 'hacked', 'like', 'fuck']",0
kiss u eye open watch bitchlmfao,"['kiss', 'u', 'eye', 'open', 'watch', 'bitchlmfao']",0
woulda coulda shoulda as hoe,"['woulda', 'coulda', 'shoulda', 'as', 'hoe']",0
happy bday bitch as nigga preciate bitch roll,"['happy', 'bday', 'bitch', 'as', 'nigga', 'preciate', 'bitch', 'roll']",0
used send bitch,"['used', 'send', 'bitch']",0
ugly bitch like im wcw duh bitch aint nobody el,"['ugly', 'bitch', 'like', 'im', 'wcw', 'duh', 'bitch', 'aint', 'nobody', 'el']",0
nigga know hacky sack hoe nah throw look pass lmao,"['nigga', 'know', 'hacky', 'sack', 'hoe', 'nah', 'throw', 'look', 'pass', 'lmao']",0
glad im getting outta atlanta nothing bunch nigga outta jail dumb bitch mad kid fuckin em,"['glad', 'im', 'getting', 'outta', 'atlanta', 'nothing', 'bunch', 'nigga', 'outta', 'jail', 'dumb', 'bitch', 'mad', 'kid', 'fuckin', 'em']",0
isnt ghettoits smart im idc,"['isnt', 'ghettoits', 'smart', 'im', 'idc']",0
would wife hoe cuz wouldnt care cheating force relationship first place,"['would', 'wife', 'hoe', 'cuz', 'wouldnt', 'care', 'cheating', 'force', 'relationship', 'first', 'place']",0
single isnt excuse hoe,"['single', 'isnt', 'excuse', 'hoe']",0
white boy power bitch black power bitch,"['white', 'boy', 'power', 'bitch', 'black', 'power', 'bitch']",0
let get drunk get blowed spit shit spark blunts fuck hoe bro white dude chill,"['let', 'get', 'drunk', 'get', 'blowed', 'spit', 'shit', 'spark', 'blunts', 'fuck', 'hoe', 'bro', 'white', 'dude', 'chill']",0
bitch u around world back,"['bitch', 'u', 'around', 'world', 'back']",0
dont get dick sucked yo party bad bitch im fr gone set,"['dont', 'get', 'dick', 'sucked', 'yo', 'party', 'bad', 'bitch', 'im', 'fr', 'gone', 'set']",0
oomf soooo cute probably hoe lot,"['oomf', 'soooo', 'cute', 'probably', 'hoe', 'lot']",0
every cartoon alway saving hoe lmao lmao damn captain saveahoe,"['every', 'cartoon', 'alway', 'saving', 'hoe', 'lmao', 'lmao', 'damn', 'captain', 'saveahoe']",0
want get nose bad bois scally chav sockfetish stinking hot sox leg,"['want', 'get', 'nose', 'bad', 'bois', 'scally', 'chav', 'sockfetish', 'stinking', 'hot', 'sox', 'leg']",0
wish bitch like brother keezy ooooow bet,"['wish', 'bitch', 'like', 'brother', 'keezy', 'ooooow', 'bet']",0
dressed cat halloween basic pussy,"['dressed', 'cat', 'halloween', 'basic', 'pussy']",0
pornhub get gaming stream feature dumb bitch gtfo get katie,"['pornhub', 'get', 'gaming', 'stream', 'feature', 'dumb', 'bitch', 'gtfo', 'get', 'katie']",0
stop scared choke sex u bitch as nigga shell like say guy hit woman bed foh,"['stop', 'scared', 'choke', 'sex', 'u', 'bitch', 'as', 'nigga', 'shell', 'like', 'say', 'guy', 'hit', 'woman', 'bed', 'foh']",0
ha well iguess make hoe loyal bro theyll never loyal hoe nig,"['ha', 'well', 'iguess', 'make', 'hoe', 'loyal', 'bro', 'theyll', 'never', 'loyal', 'hoe', 'nig']",0
oh man molly ho fuck ya seed fixed,"['oh', 'man', 'molly', 'ho', 'fuck', 'ya', 'seed', 'fixed']",0
youre man refer every girl bitch,"['youre', 'man', 'refer', 'every', 'girl', 'bitch']",0
lmfao cat started beating shit nigga finally got pussy nigga,"['lmfao', 'cat', 'started', 'beating', 'shit', 'nigga', 'finally', 'got', 'pussy', 'nigga']",0
peel peel bring back rewind back im move shaq line ooooow tf said trash,"['peel', 'peel', 'bring', 'back', 'rewind', 'back', 'im', 'move', 'shaq', 'line', 'ooooow', 'tf', 'said', 'trash']",0
io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha,"['io', 'io', 'alu', 'record', 'ho', 'vine', 'sai', 'pe', 'hahahaha', 'lol', 'anywaaaaaays', 'haha']",0
naw old tape new cover upcoming mixtape kingofthehill yeah im waiting hoe mayne,"['naw', 'old', 'tape', 'new', 'cover', 'upcoming', 'mixtape', 'kingofthehill', 'yeah', 'im', 'waiting', 'hoe', 'mayne']",0
ol dirty foot as bitch funny,"['ol', 'dirty', 'foot', 'as', 'bitch', 'funny']",0
thats get yellow flag amazing hell yeah niggy,"['thats', 'get', 'yellow', 'flag', 'amazing', 'hell', 'yeah', 'niggy']",0
dont got time bitch actin iffy,"['dont', 'got', 'time', 'bitch', 'actin', 'iffy']",0
ucfpinkparty come stay alive knight nation still early bird special comeatmeut,"['ucfpinkparty', 'come', 'stay', 'alive', 'knight', 'nation', 'still', 'early', 'bird', 'special', 'comeatmeut']",0
hoe aint loyal aint smfh wonder nobody decent want,"['hoe', 'aint', 'loyal', 'aint', 'smfh', 'wonder', 'nobody', 'decent', 'want']",0
bruh stud keep thinking im soft hell ask ya girl many time screamed bitch oh okay stfu bye hoe,"['bruh', 'stud', 'keep', 'thinking', 'im', 'soft', 'hell', 'ask', 'ya', 'girl', 'many', 'time', 'screamed', 'bitch', 'oh', 'okay', 'stfu', 'bye', 'hoe']",0
dry pussy bitch always blame condom,"['dry', 'pussy', 'bitch', 'always', 'blame', 'condom']",0
shut yo bitch as,"['shut', 'yo', 'bitch', 'as']",0
gucci mane jail dropping mixtapes every month hoe cant even text back,"['gucci', 'mane', 'jail', 'dropping', 'mixtapes', 'every', 'month', 'hoe', 'cant', 'even', 'text', 'back']",0
love hoe money wats wrong nigga,"['love', 'hoe', 'money', 'wats', 'wrong', 'nigga']",0
loyal bitch burbs without daddy issue like finding holographic mewtwo sounding like lol,"['loyal', 'bitch', 'burbs', 'without', 'daddy', 'issue', 'like', 'finding', 'holographic', 'mewtwo', 'sounding', 'like', 'lol']",0
easy cum easy hoe thats fact,"['easy', 'cum', 'easy', 'hoe', 'thats', 'fact']",0
charlie sheen real major fucking respect charlie sheen,"['charlie', 'sheen', 'real', 'major', 'fucking', 'respect', 'charlie', 'sheen']",0
wish bae got hoe tho,"['wish', 'bae', 'got', 'hoe', 'tho']",0
fuck twerking bitch cook,"['fuck', 'twerking', 'bitch', 'cook']",0
bitch wtf,"['bitch', 'wtf']",0
shut zoe fight pussy zoe im good man good maam move along,"['shut', 'zoe', 'fight', 'pussy', 'zoe', 'im', 'good', 'man', 'good', 'maam', 'move', 'along']",0
lmao fucking snake bitch em,"['lmao', 'fucking', 'snake', 'bitch', 'em']",0
big booty hoe everywhere sheesh damn,"['big', 'booty', 'hoe', 'everywhere', 'sheesh', 'damn']",0
stay tuned update report b week bum,"['stay', 'tuned', 'update', 'report', 'b', 'week', 'bum']",0
play soccer cheat girl wear khaki coloured cargo haircut yes lmfao,"['play', 'soccer', 'cheat', 'girl', 'wear', 'khaki', 'coloured', 'cargo', 'haircut', 'yes', 'lmfao']",0
oregon choke every year get field trash as program rft,"['oregon', 'choke', 'every', 'year', 'get', 'field', 'trash', 'as', 'program', 'rft']",0
def cowboy lol terrell owen best eagle cowboy ever dude cried like bitch tv romo,"['def', 'cowboy', 'lol', 'terrell', 'owen', 'best', 'eagle', 'cowboy', 'ever', 'dude', 'cried', 'like', 'bitch', 'tv', 'romo']",0
lmfaoooo hate black people there black people nigger,"['lmfaoooo', 'hate', 'black', 'people', 'there', 'black', 'people', 'nigger']",1
could u bitch potent,"['could', 'u', 'bitch', 'potent']",0
pissed lad past would lick dirty sol slept,"['pissed', 'lad', 'past', 'would', 'lick', 'dirty', 'sol', 'slept']",0
love frat boy w soft long sol,"['love', 'frat', 'boy', 'w', 'soft', 'long', 'sol']",0
sexy lad hot sol arch,"['sexy', 'lad', 'hot', 'sol', 'arch']",0
nah fam got ta cheat hoe depends female feel,"['nah', 'fam', 'got', 'ta', 'cheat', 'hoe', 'depends', 'female', 'feel']",0
got hick lol,"['got', 'hick', 'lol']",0
new twitter confusing shit go back south america bitch,"['new', 'twitter', 'confusing', 'shit', 'go', 'back', 'south', 'america', 'bitch']",0
toto mean as vaginai think pussy cause toto santi like nasty pussy,"['toto', 'mean', 'as', 'vaginai', 'think', 'pussy', 'cause', 'toto', 'santi', 'like', 'nasty', 'pussy']",0
actually choose ugly bitch as must fat,"['actually', 'choose', 'ugly', 'bitch', 'as', 'must', 'fat']",0
bitch couldnt kill vibe ya tried dis love miley,"['bitch', 'couldnt', 'kill', 'vibe', 'ya', 'tried', 'dis', 'love', 'miley']",0
im tired bitch saying look mean nigga big af wear tight shirt grim everybody,"['im', 'tired', 'bitch', 'saying', 'look', 'mean', 'nigga', 'big', 'af', 'wear', 'tight', 'shirt', 'grim', 'everybody']",0
bird grandkids may never see thanks climate change climate,"['bird', 'grandkids', 'may', 'never', 'see', 'thanks', 'climate', 'change', 'climate']",0
stay beautiful bitch,"['stay', 'beautiful', 'bitch']",0
wutkinda r purple ceeeleeeman gurl jus playin stupid hoe track still shitted sum gurls,"['wutkinda', 'r', 'purple', 'ceeeleeeman', 'gurl', 'jus', 'playin', 'stupid', 'hoe', 'track', 'still', 'shitted', 'sum', 'gurls']",0
money getting taller bitch getting blurry,"['money', 'getting', 'taller', 'bitch', 'getting', 'blurry']",0
aint never seen bitch obsessed nigga im obsessed mine,"['aint', 'never', 'seen', 'bitch', 'obsessed', 'nigga', 'im', 'obsessed', 'mine']",0
kobe stay talking trash let forget meant one smh,"['kobe', 'stay', 'talking', 'trash', 'let', 'forget', 'meant', 'one', 'smh']",0
least im nigger lmfao,"['least', 'im', 'nigger', 'lmfao']",1
people always asking im mixed bad asian bitch lol,"['people', 'always', 'asking', 'im', 'mixed', 'bad', 'asian', 'bitch', 'lol']",0
ariza snake coward least isnt cripple like hero roach lmaoo,"['ariza', 'snake', 'coward', 'least', 'isnt', 'cripple', 'like', 'hero', 'roach', 'lmaoo']",1
foster home imaginary trash whoa chill show everything tf,"['foster', 'home', 'imaginary', 'trash', 'whoa', 'chill', 'show', 'everything', 'tf']",0
lowkey tired tired quiet go sleep hoe,"['lowkey', 'tired', 'tired', 'quiet', 'go', 'sleep', 'hoe']",0
stop bringing weird nigger mention,"['stop', 'bringing', 'weird', 'nigger', 'mention']",0
dont love hoe,"['dont', 'love', 'hoe']",0
yo girl cant homeboy ol weak bitch as nigga,"['yo', 'girl', 'cant', 'homeboy', 'ol', 'weak', 'bitch', 'as', 'nigga']",0
think worst advice gave dont pussy speed lol,"['think', 'worst', 'advice', 'gave', 'dont', 'pussy', 'speed', 'lol']",0
quote tweet favorite animalpussy,"['quote', 'tweet', 'favorite', 'animalpussy']",0
hate stripper tell theyre dancer hoe ballet dancer dont pop pussy beethoven stripper,"['hate', 'stripper', 'tell', 'theyre', 'dancer', 'hoe', 'ballet', 'dancer', 'dont', 'pop', 'pussy', 'beethoven', 'stripper']",0
andrewbryant poff double vision beer poff double pussy smh,"['andrewbryant', 'poff', 'double', 'vision', 'beer', 'poff', 'double', 'pussy', 'smh']",0
bitch twerk computer ya ya damn,"['bitch', 'twerk', 'computer', 'ya', 'ya', 'damn']",0
prince art nobody takin bitch,"['prince', 'art', 'nobody', 'takin', 'bitch']",0
welfaregovernment aid claimed white people yall black slander trash,"['welfaregovernment', 'aid', 'claimed', 'white', 'people', 'yall', 'black', 'slander', 'trash']",0
bitch dont care play role,"['bitch', 'dont', 'care', 'play', 'role']",0
took find hiding lime tree dis bitch da wrong tree bro,"['took', 'find', 'hiding', 'lime', 'tree', 'dis', 'bitch', 'da', 'wrong', 'tree', 'bro']",0
drake new shoe released nikejordan yes there glitter shoe dude fag,"['drake', 'new', 'shoe', 'released', 'nikejordan', 'yes', 'there', 'glitter', 'shoe', 'dude', 'fag']",1
inna di ghetto alone lmaoo,"['inna', 'di', 'ghetto', 'alone', 'lmaoo']",0
hoe austin teach u austini teach u get curved thats know,"['hoe', 'austin', 'teach', 'u', 'austini', 'teach', 'u', 'get', 'curved', 'thats', 'know']",0
bitch cant cook know suck dick one,"['bitch', 'cant', 'cook', 'know', 'suck', 'dick', 'one']",0
fat hoe get chose lol,"['fat', 'hoe', 'get', 'chose', 'lol']",0
hoesaintloyal well theyre hoesno one expects loyal,"['hoesaintloyal', 'well', 'theyre', 'hoesno', 'one', 'expects', 'loyal']",0
ol bitch as,"['ol', 'bitch', 'as']",0
